,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
5800,5800,100,dataset.10554226,10.17182/hepdata.84716.v2/t47,"""c1_02 all"" of ""Measurement of jet substructure observables in $\mathrm{t\overline{t}}$ events from proton-proton collisions at $\sqrt{s} =$ 13TeV""","Distribution of $C_{1}^{(0.2)}$ reconstructed from all particles with pt > 1 GeV, unfolded to the particle level.",HEPData,1/1/2019,2019,,pub.1110269358,https://app.dimensions.ai/details/data_set/dataset.10554226,https://www.hepdata.net/record/122780,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12951,12951,100,dataset.372480,10.5517/cc4jp9m,CCDC 135200: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/1999,1999,"Vicic, D.A.; Jones, W.D.",pub.1055871788,https://app.dimensions.ai/details/data_set/dataset.372480,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc4jp9m&sid=DataCite,,,,,,,,,
1186,1186,100,dataset.57776839,10.17182/hepdata.110660.v1/t68,"""Fig019-f"" of ""Constraints on anomalous Higgs boson couplings to vector bosons and fermions in its production and decay using the four-lepton final state""",Example description,HEPData,1/1/2021,2021,,pub.1141198266,https://app.dimensions.ai/details/data_set/dataset.57776839,https://www.hepdata.net/record/114306,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1300,1300,100,dataset.57776539,10.17182/hepdata.105961.v1/t5,"""Table 5"" of ""Measurement of the Inclusive and Differential Higgs Boson Production Cross Sections in the Decay Mode to a Pair of τ Leptons in pp Collisions at s=13 TeV""","The correlation matrix for the jet multiplicity measurements, both for the unregularized and regularized fits. The last bin is inclusive.",HEPData,1/1/2021,2021,,pub.1145788893,https://app.dimensions.ai/details/data_set/dataset.57776539,https://www.hepdata.net/record/113467,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1739,1739,100,dataset.57762704,10.17182/hepdata.94180.v1/t59,"""Impacts Figure A23b"" of ""Measurements of the $W$ boson rapidity, helicity, double-differential cross sections, and charge asymmetry in $pp$ collisions at $\sqrt {s}$ = 13 TeV""","Impact of groups of uncertainties on absolute differential cross section versus lepton $|\eta|$, for combination of muon and electron channel",HEPData,1/1/2021,2021,,pub.1133079753,https://app.dimensions.ai/details/data_set/dataset.57762704,https://www.hepdata.net/record/100768,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10569,10569,100,dataset.556890,10.5517/cc12zn4v,CCDC 1012557: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2014,2014,"Laviska, David A.; Guan, Changjian; Emge, Thomas J.; Wilklow-Marnell, Miles; Brennessel, William W.; Jones, William D.; Krogh-Jespersen, Karsten; Goldman, Alan S.",pub.1006844018,https://app.dimensions.ai/details/data_set/dataset.556890,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc12zn4v&sid=DataCite,,,,,,,,,
8168,8168,100,dataset.10553923,10.17182/hepdata.77543.v1/t1,"""Table 1"" of ""Measurement of the cross section for electroweak production of Z$\gamma$ in association with two jets and constraints on anomalous quartic gauge couplings in proton–proton collisions at $\sqrt{s} = 8$ TeV""",The measured fiducial cross section of EW ZGamma+2Jets process.,HEPData,1/1/2017,2017,,pub.1085124007,https://app.dimensions.ai/details/data_set/dataset.10553923,https://www.hepdata.net/record/80148,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10881,10881,100,dataset.10520965,10.17182/hepdata.63972.v1/t34,"""Table 34"" of ""Study of the production of charged pions, kaons, and protons in pPb collisions at sqrt(sNN) = 5.02 TeV""",.,HEPData,1/1/2014,2014,,pub.1018811276,https://app.dimensions.ai/details/data_set/dataset.10520965,https://www.hepdata.net/record/64017,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
286,286,100,dataset.58264356,10.17182/hepdata.113657.v1/t51,"""Syst. correlation for $p_{T}(j_{1})$"" of ""Measurement of the inclusive and differential t$ \overline{t} $γ cross sections in the dilepton channel and effective field theory interpretation in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Correlation matrix of the systematic uncertainty in the absolute differential cross section as a function of $p_{T}(j_{1})$ .,HEPData,1/1/2022,2022,,pub.1147963256,https://app.dimensions.ai/details/data_set/dataset.58264356,https://www.hepdata.net/record/116335,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7870,7870,100,dataset.2120980,10.17182/hepdata.77044.v1/t7,"""Table 7"" of ""Measurement of Partonic Nuclear Effects in Deep-Inelastic Neutrino Scattering using MINERvA""",Ratio of the total DIS cross section on Fe to CH as a function of $E_\nu$.,HEPData,1/1/2017,2017,,pub.1060712353,https://app.dimensions.ai/details/data_set/dataset.2120980,https://www.hepdata.net/record/77286,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12426,12426,100,dataset.8997763,10.1371/journal.pone.0008408,Expression Profiling the Temperature-Dependent Amphibian Response to Infection by <em>Batrachochytrium dendrobatidis</em>,"Amphibians are experiencing a panzootic of unprecedented proportions caused by the emergence of Batrachochytrium dendrobatidis (Bd). However, all species are not equally at risk of infection, and risk is further modified by environmental variables, specifically temperature. In order to understand how, and when, hosts mount a response to Bd we analysed infection dynamics and patterns of gene expression in the model amphibian species Silurana (Xenopus) tropicalis. Mathematical modelling of infection dynamics demonstrate the existence of a temperature-dependent protective response that is largely independent of the intrinsic growth-rate of Bd. Using temporal expression-profiling by microarrays and qRT-PCR, we characterise this response in the main amphibian lymphoid tissue, the spleen. We demonstrate that clearance of Bd at the host-optimal temperature is not clearly associated with an adaptive immune response, but rather is correlated with the induction of components of host innate immunity including the expression of genes that are associated with the production of the antimicrobial skin peptide preprocareulein (PPCP) as well as inflammatory responses. We find that adaptive immunity appears to be lacking at host-optimal temperatures. This suggests that either Bd does not stimulate, or suppresses, adaptive immunity, or that trade-offs exist between innate and adaptive limbs of the amphibian immune system. At cold temperatures, S. tropicalis loses the ability to mount a PPCP-based innate response, and instead manifests a more pronounced inflammatory reaction that is characterised by the production of proteases and higher pathogen burdens. This study demonstrates the temperature-dependency of the amphibian response to infection by Bd and indicates the influence that changing climates may exert on the ectothermic host response to pathogens.",Public Library of Science,12/22/2009,2009,Laia Ribas; Ming-Shi Li; Benjamin J. Doddington; Jacques Robert; Judith A. Seidel; J. Simon Kroll; Lyle B. Zimmerman; Nicholas C. Grassly; Trenton W. J. Garner; Matthew C. Fisher,pub.1044115864,https://app.dimensions.ai/details/data_set/dataset.8997763,https://plos.figshare.com/articles/dataset/Expression_Profiling_the_Temperature_Dependent_Amphibian_Response_to_Infection_by_Batrachochytrium_dendrobatidis_/145262,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3009 Veterinary Sciences; 31 Biological Sciences; 3109 Zoology",Infectious Diseases,Infection; Inflammatory and immune system,2.1 Biological and endogenous factors,,Basic Science,,,
5218,5218,100,dataset.10564123,10.17182/hepdata.88882.v1/t24,"""Cross sections, pseudoscalar mediator"" of ""Search for dark matter produced in association with a single top quark or a top quark pair in proton-proton collisions at $ \sqrt{s}=13 $ TeV""","Cross sections of the t+DM and tt+DM processes, for different mediator and dark matter masses. The pseudoscalar hypothesis is considered. The t+DM processes are split by production mode (t-, s-, and tW-channels). The sum of the three is also provided.",HEPData,1/1/2019,2019,,pub.1113112147,https://app.dimensions.ai/details/data_set/dataset.10564123,https://www.hepdata.net/record/91799,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,Emerging Infectious Diseases,,,,,,,
7874,7874,100,dataset.2120972,10.17182/hepdata.77044.v1/t12,"""Table 12"" of ""Measurement of Partonic Nuclear Effects in Deep-Inelastic Neutrino Scattering using MINERvA""",Systematic error matrix of the ratio of the $x$-differential DIS cross section on Fe to CH.,HEPData,1/1/2017,2017,,pub.1060712353,https://app.dimensions.ai/details/data_set/dataset.2120972,https://www.hepdata.net/record/77288,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4355,4355,100,dataset.7705098,10.25387/g3.7798637.v1,"Supplemental Material for Martinson et al., 2019","The flesh fly, Sarcophaga bullata, is a widely-used
model for examining the physiology of insect diapause, development, stress
tolerance, neurobiology, and host-parasitoid interactions. Flies in this taxon
are implicated in myiasis (larval infection of vertebrates) and feed on
carrion, aspects that are important in forensic
studies.   Here we present the genome of S. bullata,  along with developmental- and
reproduction-based RNA-seq analyses. We predict 15,768 protein coding genes,
identify orthology in relation to closely related flies, and establish sex and
developmental-specific gene sets based on our RNA-seq analyses. Genomic
sequences, predicted genes, and sequencing data sets have been deposited at the
National Center for Biotechnology Information. Our results provide groundwork
for genomic studies that will expand the fly’s  utility as a model. ",GSA Journals,3/28/2019,2019,Ellen Martinson; Justin Peyton; Yogeshwar D. Kelkar; Emily C. Jennings; Joshua B. Benoit; John H. Werren; David L. Denlinger,pub.1113118719,https://app.dimensions.ai/details/data_set/dataset.7705098,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Martinson_et_al_2019/7798637,31 Biological Sciences; 31 Biological Sciences; 3102 Bioinformatics and Computational Biology; 3105 Genetics,Biotechnology; Genetics; Human Genome,,,,Basic Science,,,
5488,5488,100,dataset.10558188,10.17182/hepdata.85627.v1/t1,"""Table 1"" of ""Jet shapes of isolated photon-tagged jets in PbPb and pp collisions at $\sqrt{s_\mathrm{NN}} =$ 5.02 TeV""","The differential jet shape, $\rho(r)$, for jets associated with an isolated photon in pp collisions.",HEPData,1/1/2019,2019,,pub.1113533384,https://app.dimensions.ai/details/data_set/dataset.10558188,https://www.hepdata.net/record/88299,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4658,4658,100,dataset.10578564,10.17182/hepdata.83196.v1/t10,"""Table 10"" of ""Jet properties in PbPb and pp collisions at $\sqrt{s_\mathrm{NN}} =$ 5.02 TeV""",The ratio between PbPb and pp measurements from Table 9 for the indicated intervals of ${p_{\mathrm{T}}^{\text{trk}}}$.,HEPData,1/1/2019,2019,,pub.1104043596,https://app.dimensions.ai/details/data_set/dataset.10578564,https://www.hepdata.net/record/88895,49 Mathematical Sciences; 49 Mathematical Sciences; 4901 Applied Mathematics; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
11812,11812,100,dataset.10529548,10.17182/hepdata.58994.v1/t80,"""Table 80"" of ""Measurement of the elliptic anisotropy of charged particles produced in PbPb collisions at nucleon-nucleon center-of-mass energy = 2.76 TeV""","Measurements of the elliptic anisotropy parameter using the event-plane method, V2(EP) v PT for the centrality range 0-10%.",HEPData,1/1/2012,2012,,pub.1041129352,https://app.dimensions.ai/details/data_set/dataset.10529548,https://www.hepdata.net/record/59075,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8474,8474,100,dataset.10540412,10.17182/hepdata.77603.v1/t17,"""Table 17"" of ""Azimuthal anisotropy of charged particles with transverse momentum up to 100 GeV/ c in PbPb collisions at $\sqrt {s}_{{NN}}$=5.02 TeV""","The $v_{2}$ result from 4-, 6- and 8-particle cumulant methods as a function of $p_{T}$ in 20-30\% centrality bin of PbPb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV. Shaded boxes represent systematic uncertainties.",HEPData,1/1/2017,2017,,pub.1092999306,https://app.dimensions.ai/details/data_set/dataset.10540412,https://www.hepdata.net/record/79934,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12213,12213,100,dataset.10530271,10.17182/hepdata.63845.v1/t1,"""Table 1"" of ""Azimuthal decorrelations and multiple parton interactions in $\gamma$+2 jet and $\gamma$+3 jet events in $p\bar{p}$ collisions at $\sqrt{s}=1.96$ TeV""",The normalised differential cross section of the azmiuthal decorrelation variable DELTA for the GAMMA+3JET sample for the PT of the second jet in the range 15 TO 30 GeV.,HEPData,1/1/2011,2011,,pub.1031730794,https://app.dimensions.ai/details/data_set/dataset.10530271,https://www.hepdata.net/record/63855,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9905,9905,100,dataset.10547827,10.17182/hepdata.70063.v1/t98,"""Table 98"" of ""Shape, Transverse Size, and Charged Hadron Multiplicity of Jets in pp Collisions at 7 TeV""",The measured differential jet shape $\rho(r)$ for jets with 110 GeV $< p_{\mathrm{T}},HEPData,1/1/2015,2015,,pub.1008311171,https://app.dimensions.ai/details/data_set/dataset.10547827,https://www.hepdata.net/record/70172,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3361,3361,100,dataset.57761880,10.17182/hepdata.88289.v1/t51,"""Table 51"" of ""Mixed higher-order anisotropic flow and nonlinear response coefficients of charged particles in PbPb collisions at $\sqrt{s_\mathrm{NN}} =$ 2.76 and 5.02 TeV""",Nonlinear response coefficient $\chi_{422}$ from the scalar-product method at 2.76 TeV as a function of PT in the 0-20% centrality range.,HEPData,1/1/2020,2020,,pub.1128471687,https://app.dimensions.ai/details/data_set/dataset.57761880,https://www.hepdata.net/record/99863,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
11334,11334,100,dataset.10540492,10.17182/hepdata.58303.v1/t2,"""Table 2"" of ""$J/\psi$ and $\psi_{2S}$ production in $pp$ collisions at $\sqrt{s}=7$ TeV""",The (unpolarised) acceptance corrected J/PSI cross section times branching ratio to MU+ MU- for (PROMPT) and NON-PROMPT) production in the |rapidity| bin 0.9-1.2.,HEPData,1/1/2013,2013,,pub.1038168854,https://app.dimensions.ai/details/data_set/dataset.10540492,https://www.hepdata.net/record/58306,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9942,9942,100,dataset.10546925,10.17182/hepdata.70063.v1/t59,"""Table 59"" of ""Shape, Transverse Size, and Charged Hadron Multiplicity of Jets in pp Collisions at 7 TeV""",The measured differential jet shape $\rho(r)$ for jets with 180 GeV $< p_{\mathrm{T}},HEPData,1/1/2015,2015,,pub.1008311171,https://app.dimensions.ai/details/data_set/dataset.10546925,https://www.hepdata.net/record/70135,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12953,12953,100,dataset.372104,10.5517/cc4jp7k,CCDC 135198: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/1999,1999,"Vicic, D.A.; Jones, W.D.",pub.1055871788,https://app.dimensions.ai/details/data_set/dataset.372104,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc4jp7k&sid=DataCite,,,,,,,,,
478,478,100,dataset.58258212,10.17182/hepdata.113657.v2/t26,"""Figure 11d"" of ""Measurement of the inclusive and differential t$ \overline{t} $γ cross sections in the dilepton channel and effective field theory interpretation in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Normalized differential $tt\gamma$ production cross section as a function of $p_{T}(\ell_{1})+p_{T}(\ell_{2})$. The values provided in the table are not divided by the bin width.,HEPData,1/1/2022,2022,,pub.1147963256,https://app.dimensions.ai/details/data_set/dataset.58258212,https://www.hepdata.net/record/128090,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3785,3785,100,dataset.10574028,10.17182/hepdata.96235.v1/t5,"""Expected $\sigma$ UL + 2 s.d."" of ""Search for supersymmetry in proton-proton collisions at $\sqrt{s} =$ 13 TeV in events with high-momentum Z bosons and missing transverse momentum""",Cross section upper limit vs m(GLUINO) for SMS model T5ZZ.,HEPData,1/1/2020,2020,,pub.1131164755,https://app.dimensions.ai/details/data_set/dataset.10574028,https://www.hepdata.net/record/96259,49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
2313,2313,100,dataset.57624340,10.17182/hepdata.102956.v1/t159,"""particle_abs_thadpth"" of ""Measurement of differential $\text{t}\overline{\text{t}}$ production cross sections in the full kinematic range using lepton+jets events from proton-proton collisions at $\sqrt{s} = $ 13 TeV""",differential cross sections.,HEPData,1/1/2021,2021,,pub.1143492381,https://app.dimensions.ai/details/data_set/dataset.57624340,https://www.hepdata.net/record/114578,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1429,1429,100,dataset.57774216,10.17182/hepdata.102987.v1/t1,"""Inclusive top quark mass"" of ""Measurement of the top quark mass using events with a single reconstructed top quark in pp collisions at $\sqrt{s}$ = 13 TeV""","Top quark mass measured inclusive of lepton flavor and charge. The uncertainties are given in two parts, the first part is the combination of statistical (stat) and profiled (prof) uncertainties and the second part is for the experimental (ext) uncetrinaties.",HEPData,1/1/2021,2021,,pub.1144234734,https://app.dimensions.ai/details/data_set/dataset.57774216,https://www.hepdata.net/record/110893,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4432,4432,100,dataset.1835156,10.5517/ccdc.csd.cc21zc3j,CCDC 1906007: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2019,2019,"Holt, Connor; Alachouzos, Georgios; Frontier, Alison J.",pub.1112940737,https://app.dimensions.ai/details/data_set/dataset.1835156,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/ccdc.csd.cc21zc3j&sid=DataCite,,,,,,,,,
12896,12896,100,dataset.1620529,10.5517/cc5rbbk,CCDC 171378: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2002,2002,"Kende, A.S.; Hernando, J.I.M.; Milbank, J.B.J.",pub.1034632361,https://app.dimensions.ai/details/data_set/dataset.1620529,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc5rbbk&sid=DataCite,,,,,,,,,
2275,2275,100,dataset.57624387,10.17182/hepdata.102956.v1/t200,"""particle_abs_ttpt_covariance"" of ""Measurement of differential $\text{t}\overline{\text{t}}$ production cross sections in the full kinematic range using lepton+jets events from proton-proton collisions at $\sqrt{s} = $ 13 TeV""",differential cross sections.,HEPData,1/1/2021,2021,,pub.1143492381,https://app.dimensions.ai/details/data_set/dataset.57624387,https://www.hepdata.net/record/114618,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8440,8440,100,dataset.10541073,10.17182/hepdata.77493.v1/t51,"""Table 51"" of ""Decomposing transverse momentum balance contributions for quenched jets in PbPb collisions at sqrt(s[NN]) = 2.76 TeV""","Difference of the long range track transverse momentum distributions between subleading and leading hemispheres (dP) in peripheral PbPb data (centrality 50-100%), projected into relative azimuth, for unbalanced dijets with Aj > 0.22.",HEPData,1/1/2017,2017,,pub.1012027759,https://app.dimensions.ai/details/data_set/dataset.10541073,https://www.hepdata.net/record/77968,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
7332,7332,100,dataset.10551656,10.17182/hepdata.83912.v1/t41,"""Table 41"" of ""Measurements of the differential jet cross section as a function of the jet mass in dijet events from proton-proton collisions at $\sqrt{s} =$ 13 TeV""",Normalized cross section for groomed jets for pt = 550-650,HEPData,1/1/2018,2018,,pub.1110123982,https://app.dimensions.ai/details/data_set/dataset.10551656,https://www.hepdata.net/record/83978,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9856,9856,100,dataset.10552005,10.17182/hepdata.67151.v1/t2,"""Table 2"" of ""Evidence for transverse momentum and pseudorapidity dependent event plane fluctuations in PbPb and pPb collisions""","The $p_{T}$-dependent factorization ratio, $r_{2}$, as a function of $p^{a}_{T} - p^{b}_{T}$ for $1.5",HEPData,1/1/2015,2015,,pub.1046700402,https://app.dimensions.ai/details/data_set/dataset.10552005,https://www.hepdata.net/record/67160,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences,,,,,,,,
10368,10368,100,dataset.10528147,10.17182/hepdata.67151.v1/t126,"""Table 126"" of ""Evidence for transverse momentum and pseudorapidity dependent event plane fluctuations in PbPb and pPb collisions""","The $\eta$-dependent factorization ratio, $r_{2}$, as a function of $\eta^{a}$ for 4.4",HEPData,1/1/2015,2015,,pub.1046700402,https://app.dimensions.ai/details/data_set/dataset.10528147,https://www.hepdata.net/record/67281,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences,,,,,,,,
4111,4111,100,dataset.10563803,10.17182/hepdata.89879.v1/t4,"""Table 4"" of ""Measurement of associated production of a W boson and a charm quark in proton-proton collisions at $\sqrt{s} =$ 13 TeV""",The differential measurement of W + D*(2010) as a function of the absolute peudorapidity of the muon originating from the W boson.,HEPData,1/1/2020,2020,,pub.1112966435,https://app.dimensions.ai/details/data_set/dataset.10563803,https://www.hepdata.net/record/96761,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5003,5003,100,dataset.10570247,10.17182/hepdata.85746.v1/t17,"""Figure7c"" of ""Search for vector-like quarks in events with two oppositely charged leptons and jets in proton-proton collisions at $\sqrt{s} =$ 13 TeV""",The observed and expected 95% CL upper limits on the $B\bar B$ cross section as a function of the B quark mass assuming Br(B → bZ) = Br(B → tW) = 50%,HEPData,1/1/2019,2019,,pub.1113788820,https://app.dimensions.ai/details/data_set/dataset.10570247,https://www.hepdata.net/record/89244,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1297,1297,100,dataset.57776542,10.17182/hepdata.102525.v1/t8,"""Fermionic and bosonic signal strengths: 68% CL"" of ""Measurements of production cross sections of the Higgs boson in the four-lepton final state in proton-proton collisions at $\sqrt{s} = $ 13 TeV""",Result of the 2D likelihood scan for the bosonic and fermionic signal strength modifiers. Contour for the 68% CL region.,HEPData,1/1/2021,2021,,pub.1138547998,https://app.dimensions.ai/details/data_set/dataset.57776542,https://www.hepdata.net/record/113457,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7369,7369,100,dataset.10551016,10.17182/hepdata.86133.v1/t2,"""Table 2"" of ""Search for beyond the standard model Higgs bosons decaying into a $\mathrm{b\overline{b}}$ pair in pp collisions at $\sqrt{s} =$ 13 TeV""","Expected and observed 95% CL upper limits on tan(beta) as a function of m(A) in the mhmodp benchmark scenario for a higgsino mass parameter of mu=+200 GeV. Since theoretical predictions are not reliable for tan(beta)>60, entries for which tan(beta) would exceed this value are indicated by N/A.",HEPData,1/1/2018,2018,,pub.1106316907,https://app.dimensions.ai/details/data_set/dataset.10551016,https://www.hepdata.net/record/86208,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4819,4819,100,dataset.10576137,10.17182/hepdata.89307.v1/t5,"""Table 5"" of ""Measurements of $\mathrm{t\overline{t}}$ differential cross sections in proton-proton collisions at $\sqrt{s} =$ 13 TeV using events containing two leptons""",Measured absolute differential cross section at particle level as a function of $p_{T}^{t}$.,HEPData,1/1/2019,2019,,pub.1112392826,https://app.dimensions.ai/details/data_set/dataset.10576137,https://www.hepdata.net/record/89466,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1365,1365,100,dataset.57774283,10.17182/hepdata.103065.v1/t50,"""Figure 10-b Expected Lines"" of ""Search for top squark production in fully-hadronic final states in proton-proton collisions at $\sqrt{s} =$ 13 TeV""","The mean expected exclusion contour of the T1ttbb simplified model and the region containing 68 and 95\% ($\pm 1$ and $2\,\sigma_{\text{experiment}}$) of the distribution of expected exclusion limits under the background-only hypothesis.",HEPData,1/1/2021,2021,,pub.1141039525,https://app.dimensions.ai/details/data_set/dataset.57774283,https://www.hepdata.net/record/110961,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1160,1160,100,dataset.57777283,10.17182/hepdata.95230.v1/t27,"""Table 27"" of ""Using Z boson events to study parton-medium interactions in PbPb collisions""",PbPb / pp ratio of p$^{\mathrm{trk}}_{\mathrm{T}}$ distributions for 30-50% centrality PbPb collisions at 5.02 TeV.,HEPData,1/1/2021,2021,,pub.1146519856,https://app.dimensions.ai/details/data_set/dataset.57777283,https://www.hepdata.net/record/115169,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
12936,12936,100,dataset.1507928,10.5517/cc5lyth,CCDC 167177: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2001,2001,"Smith, J.M.; Lachicotte, R.J.; Holland, P.L.",pub.1004605659,https://app.dimensions.ai/details/data_set/dataset.1507928,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc5lyth&sid=DataCite,,,,,,,,,
