author(s),publisher,keywords,title,publicationYear,publisher_categories
"garner, robert n.; pierce, christopher g.; reed, carly r.; brennessel, william w.",the cambridge structural database,0,ccdc 1507422: experimental crystal structure determination,2017,scientific
"eisenberg, robert; immport",niaid,32 biomedical and clinical sciences; 3204 immunology; 36 creative arts and writing,anti-cd20 in sle (ac002),2017,medical/health
"bauer, j.m.; grav, t.; fernandez, y.r.; mainzer, a.k.; kramer, e.a.; masiero, j.r.; spahr, t.; nugent, c.r.; stevenson, r.a.; meech, k.j.; cutri, r.m.; lisse, c.m.; walker, r.; dailey, j.w.; rosser, j.; krings, p.; ruecker, k.; wright, e.l.;  (the neowise team)",strasbourg astronomical data center,0,wise/neowise observations of comets,2017,scientific
"esplin, t.l.; luhman, k.l.; faherty, j.k.; mamajek, e.e.; bochanski, j.j.",strasbourg astronomical data center,0,proper motions and photometry for members of cha i,2017,scientific
"luhman, k.l.; mamajek, e.e.; shukla, s.j.; loutrel, n.p.",strasbourg astronomical data center,0,spectroscopy of candidate members in taurus,2017,scientific
"mellon, s.n.; mamajek, e.e.; oberst, t.e.; pecaut, m.j.",strasbourg astronomical data center,0,the sco-cen rotation catalogue - scrc,2017,scientific
"kraus, a.l.; herczeg, g.j.; rizzuto, a.c.; mann, a.w.; slesnick, c.l.; carpenter, j.m.; hillenbrand, l.a.; mamajek, e.e.",strasbourg astronomical data center,0,the taurus-auriga ecosystem. i.,2017,scientific
"hinkel, n.r.; mamajek, e.e.; turnbull, m.c.; osby, e.; shkolnik, e.l.; smith, g.h.; klimasewski, a.; somers, g.; desch, s.j.",strasbourg astronomical data center,0,catalog of stellar unified properties,2017,scientific
"dewar, john c.; thakur, arnav s.; brennessel, william w.; cafiero, mauricio; peterson, larryn w.; eckenhoff, william t.",the cambridge structural database,0,ccdc 1566989: experimental crystal structure determination,2017,scientific
"das, uttam k.; daifuku, stephanie l.; iannuzzi, theresa e.; gorelsky, serge i.; korobkov, ilia; gabidullin, bulat; neidig, michael l.; baker, r. tom",the cambridge structural database,0,ccdc 1562314: experimental crystal structure determination,2017,scientific
"yuwen, jing; chakraborty, sumit; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1533492: experimental crystal structure determination,2017,scientific
"tinoco, antonio; steck, viktoria; tyagi, vikas; fasan, rudi",the cambridge structural database,0,ccdc 1566538: experimental crystal structure determination,2017,scientific
"alwaseem, hanan; frisch, benjamin j.; fasan, rudi",the cambridge structural database,0,ccdc 1546909: experimental crystal structure determination,2017,scientific
"kneebone, jared l.; brennessel, william w.; neidig, michael l.",the cambridge structural database,0,ccdc 1564597: experimental crystal structure determination,2017,scientific
"wilklow-marnell, miles; li, bo; zhou, tian; krogh-jespersen, karsten; brennessel, william w.; emge, thomas j.; goldman, alan s.; jones, william d.",the cambridge structural database,0,ccdc 1540146: experimental crystal structure determination,2017,scientific
"horitani, masaki; grubel, katarzyna; mcwilliams, sean f.; stubbert, bryan d.; mercado, brandon q.; yu, ying; gurubasavaraj, prabhuodeyara m.; lees, nicholas s.; holland, patrick l.; hoffman, brian m.",the cambridge structural database,0,ccdc 1543306: experimental crystal structure determination,2017,scientific
"gendron, frédéric; fleischauer, valerie e.; duignan, thomas j.; scott, brian l.; löble, matthias w.; cary, samantha k.; kozimor, stosh a.; bolvin, hélène; neidig, michael l.; autschbach, jochen",the cambridge structural database,0,ccdc 1544486: experimental crystal structure determination,2017,scientific
"li, feng; carpenter, stephanie h.; higgins, robert f.; hitt, mark g.; brennessel, william w.; ferrier, maryline g.; cary, samantha k.; lezama-pacheco, juan s.; wright, joshua t.; stein, benjamin w.; shores, matthew p.; neidig, michael l.; kozimor, stosh a.; matson, ellen m.",the cambridge structural database,0,ccdc 1504757: experimental crystal structure determination,2017,scientific
"reesbeck, megan e.; grubel, katarzyna; kim, daniel; brennessel, william w.; mercado, brandon q.; holland, patrick l.",the cambridge structural database,0,ccdc 1541310: experimental crystal structure determination,2017,scientific
"abramson, j.; andrews, d.e.; harvey, john r.; lobkowicz, f.; may, e.n.; nelson, c.a.; singer, m.; thorndike, e.h.; nordberg, m.e.",hepdata,51 physical sciences; 51 physical sciences; 5106 nuclear and plasma physics,"""table 6"" of ""elastic photoproduction of omega mesons from hydrogen, deuterium, and complex nuclei""",2017,Math/physics/computerScience
michael o. navarro; garfield t. kwan; olga batalov; chelsea y. choi; n. tessa pierce; lisa a. levin,public library of science,31 biological sciences; 3103 ecology; 41 environmental sciences,"development of embryonic market squid, <i>doryteuthis opalescens</i>, under chronic exposure to low environmental ph and o<sub>2</sub>",2016,scientific
"firpo, sergio",mendeley,38 economics; 38 economics; 3801 applied economics; 44 human society; 44 human society; 4408 political science,data for: the relationship between federal budget amendments and local electoral power,2016,general
duane mckenna; erin scully; yannick pauchet; kelli hoover; roy kirsch; scott geib; robert mitchell; robert waterhouse; seung-joon ahn; deanna arsala; joshua benoit; heath blackmon; tiffany bledsoe; julia bowsher; andrăš busch; bernarda calla; hsu chao; anna childers; christopher childers; dave clarke; lorna cohen; jeffery demuth; huyen dinh; harshavardhan doddapaneni; amanda dolan; jian duan; shannon dugan; markus friedrich; karl glastad; michael goodisman; stephanie haddad; yi han; daniel hughes; panagiotis ioannidis; j. johnston; jeffery jones; leslie kuhn; david lance; chien-yueh lee; sandra lee; han lin; jeremy lynch; armin moczek; shwetha murali; donna muzny; david nelson; subba palli; kristen panfilio; dan pers; monica poelchau; honghu quan; jiaxin qu; ann ray; joseph rinehart; hugh robertson; richard roehrdanz; andrew rosendale; seunggwan shin; christian silva; alex torson; iris jentzsch; john werren; kim worley; george yocum; evgeny zdobnov; richard gibbs; stephen richards,springer nature,31 biological sciences; 31 biological sciences; 3105 genetics,"additional file 2: of genome of the asian longhorned beetle (anoplophora glabripennis), a globally significant invasive species, reveals key functional and evolutionary innovations at the beetleâplant interface",2016,geology/environment
"tessa
m. baker; teresa l. mako; aristidis vasilopoulos; bo li; jeffery a. byers; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"magnetic circular dichroism and density functional
theory studies of iron(ii)-pincer complexes: insight into electronic
structure and bonding effects of pincer n‑heterocyclic carbene
moieties",2016,scientific
david weber; jin long; mary b. leonard; babette zemel; joshua f. baker,public library of science,44 human society; 52 psychology; 5205 social and personality psychology,"regressions of fmi on almi z-score within age, sex, and race categories.",2016,scientific
alexie papanicolaou; marc schetelig; peter arensburger; peter atkinson; joshua benoit; kostas bourtzis; pedro castañera; john cavanaugh; hsu chao; christopher childers; ingrid curril; huyen dinh; harshavardhan doddapaneni; amanda dolan; shannon dugan; markus friedrich; giuliano gasperi; scott geib; georgios georgakilas; richard gibbs; sarah giers; ludvik gomulski; miguel gonzález-guzmán; ana guillem-amat; yi han; artemis hatzigeorgiou; pedro hernández-crespo; daniel hughes; jeffery jones; dimitra karagkouni; panagiota koskinioti; sandra lee; anna malacrida; mosè manni; kostas mathiopoulos; angela meccariello; shwetha murali; terence murphy; donna muzny; georg oberhofer; félix ortego; maria paraskevopoulou; monica poelchau; jiaxin qu; martin reczko; hugh robertson; andrew rosendale; andrew rosselot; giuseppe saccone; marco salvemini; grazia savini; patrick schreiner; francesca scolari; paolo siciliano; sheina sim; george tsiamis; enric ureña; ioannis vlachos; john werren; ernst wimmer; kim worley; antigone zacharopoulou; stephen richards; alfred handler,springer nature,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,"additional file 2: of the whole genome sequence of the mediterranean fruit fly, ceratitis capitata (wiedemann), reveals insights into the biology and adaptive evolution of a highly invasive pest species",2016,geology/environment
yu-wen huang; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"nazarov cyclization/internal redox cyclization sequence
for the synthesis of n‑heterocyclic bridged ring systems",2016,scientific
peter v. distefano; alan v. smrcka; angela j. glading,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3208 medical physiology,phospholipase cε modulates rap1 activity and the endothelial barrier,2016,scientific
jing yuwen; yunzhe jiao; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3407 theoretical and computational chemistry,"determination of rhodium–alkoxide bond strengths
in tp′rh(pme<sub>3</sub>)­(or)h",2016,scientific
"sarina
m. bellows; nicholas a. arnet; prabhuodeyara m. gurubasavaraj; william
w. brennessel; eckhard bill; thomas r. cundari; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"the
mechanism of n–n double bond cleavage by
an iron(ii) hydride complex",2016,scientific
"hongjin lv; t. purnima a. ruberu; valerie e. fleischauer; william
w. brennessel; michael l. neidig; richard eisenberg",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3406 physical chemistry,"catalytic
light-driven generation of hydrogen from
water by iron dithiolene complexes",2016,scientific
ruth castro-rodrigo; sumit chakraborty; lloyd munjanja; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, characterization, and reactivities of molybdenum
and tungsten ponop pincer complexes",2016,scientific
alfredo rago; donald gilbert; jeong-hyeon choi; timothy sackton; xu wang; yogeshwar kelkar; john werren; john colbourne,springer nature,31 biological sciences; 31 biological sciences; 3105 genetics,additional file 8: of ogs2: genome re-annotation of the jewel wasp nasonia vitripennis,2016,geology/environment
james h. cane; robert l. minckley; linda j. kervin; tai h. roulston; neal m. williams,wiley,31 biological sciences; 31 biological sciences; 3103 ecology,appendix a. location of all habitat fragments and six of the 12 continuous desert sites sampled in the study.,2016,scientific
feng li; lauren e. vangelder; william w. brennessel; ellen m. matson,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3406 physical chemistry,"self-assembled, iron-functionalized
polyoxovanadate alkoxide clusters",2016,scientific
emily l. landeen; christina a. muirhead; lori wright; colin d. meiklejohn; daven c. presgraves,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics; 32 biomedical and clinical sciences,sex chromosome-wide transcriptional suppression and compensatory <i>cis-</i>regulatory evolution mediate gene expression in the <i>drosophila</i> male germline,2016,scientific
graeme hewitt; bernadette carroll; rezazadeh sarallah; clara correia-melo; mikołaj ogrodnik; glyn nelson; elsje g. otten; diego manni; robin antrobus; brian a. morgan; thomas von zglinicki; diana jurk; andrei seluanov; vera gorbunova; terje johansen; joão f. passos; viktor i. korolchuk,taylor & francis group,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,sqstm1/p62 mediates crosstalk between autophagy and the ups in dna repair,2016,Math/physics/computerScience
michael s. piepenbrink; memorie samuel; bo zheng; brittany carter; christopher fucile; catherine bunce; michelle kiebala; atif a. khan; juilee thakar; sanjay b. maggirwar; diane morse; alexander f. rosenberg; norman j. haughey; william valenti; michael c. keefer; james j. kobie,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3204 immunology,humoral dysregulation associated with increased systemic inflammation among injection heroin users,2016,scientific
xu wang; john h. werren; andrew g. clark,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,allele-specific transcriptome and methylome analysis reveals stable inheritance and <i>cis</i>-regulation of dna methylation in <i>nasonia</i>,2016,scientific
"salvador
b. muñoz; stephanie
l. daifuku; william w. brennessel; michael l. neidig",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"isolation,
characterization, and reactivity of fe<sub>8</sub>me<sub>12</sub>
<sup>–</sup>: kochi’s 
<i>s</i> =
1/2 species in
iron-catalyzed cross-couplings with memgbr and ferric salts",2016,scientific
tian jiang; aitor nogales; steven f baker; luis martinez-sobrido; douglas h turner,public library of science,31 biological sciences; 31 biological sciences; 3107 microbiology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3207 medical microbiology,mutations designed by ensemble defect to misfold conserved rna structures of influenza a segments 7 and 8 affect splicing and attenuate viral replication in cell culture,2016,scientific
brittany a. weldon; elaine m. faustman; günter oberdörster; tomomi workman; william c. griffith; carsten kneuer; il je yu,taylor & francis group,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3206 medical biotechnology,occupational exposure limit for silver nanoparticles: considerations on the derivation of a general health-based value,2016,Math/physics/computerScience
lloyd munjanja; coralys torres-lópez; william w. brennessel; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"c–cn bond cleavage using palladium supported
by a dippe ligand",2016,scientific
elizabeth a. guancial; deepak kilari; guang-qian xiao; sohaib h. abu-farsakh; andrea baran; edward m. messing; eric s. kim,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,demographic and clinical characteristics of evaluable patients.,2016,scientific
"nicholas
r. rightmire; david l. bruns; timothy p. hanusa; william
w. brennessel",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"mechanochemical influence on the stereoselectivity
of halide metathesis: synthesis of group 15 tris(allyl) complexes",2016,scientific
kirk warren brown; robert j. goodman; richard m. ryan; bhikkhu anālayo,public library of science,"40 engineering; 4007 control engineering, mechatronics and robotics; 42 health sciences",mean (and standard error) hit and false alarm rates in the remember-know task (study 1).,2016,scientific
"heather r. wiltse; alyssa
n. johnson; raphael j. durand; william brennessel; robert m. chin",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"syntheses, characterization, and reactivity of diruthenium
hydrido complexes",2016,scientific
angela r. branche; edward e. walsh; nagesh jadhav; rachel karmally; andrea baran; derick r. peterson; ann r. falsey,public library of science,32 biomedical and clinical sciences; 42 health sciences; 4203 health services and systems,provider decisions to treat respiratory illnesses with antibiotics: insights from a randomized controlled trial,2016,scientific
matthew mccall; alexander baras; alexander crits-christoph; roxann ingersoll; melissa mcalexander; kenneth witwer; marc halushka,springer nature,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 46 information and computing sciences; 4601 applied computing,additional file 5 of a benchmark for microrna quantification algorithms using the openarray platform,2016,geology/environment
cecilia conaco; pantelis tsoulfas; onur sakarya; amanda dolan; john werren; kenneth s. kosik,public library of science,31 biological sciences; 31 biological sciences; 3103 ecology; 3105 genetics; 3107 microbiology,detection of prokaryotic genes in the <i>amphimedon queenslandica</i> genome,2016,scientific
catalina alfonso-parra; yasir h. ahmed-braimah; ethan c. degner; frank w. avila; susan m. villarreal; jeffrey a. pleiss; mariana f. wolfner; laura c. harrington,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3103 ecology; 3109 zoology,mating-induced transcriptome changes in the reproductive tract of female <i>aedes aegypti</i>,2016,scientific
run long; oleg v. prezhdo,american chemical society,34 chemical sciences; 34 chemical sciences; 3403 macromolecular and materials chemistry; 3406 physical chemistry; 3407 theoretical and computational chemistry; 40 engineering,ab initio nonadiabatic molecular dynamics of the ultrafast electron injection from a pbse quantum dot into the tio<sub>2</sub> surface,2016,scientific
"ryan e. cowley; matthew r. golder; nathan
a. eckert; malik h. al-afyouni; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"mechanism of catalytic nitrene transfer using iron(i)–isocyanide
complexes",2016,scientific
wathsala liyanage; bradley l. nilsson,american chemical society,34 chemical sciences; 34 chemical sciences; 3403 macromolecular and materials chemistry; 3405 organic chemistry,"substituent effects on the self-assembly/coassembly
and hydrogelation of phenylalanine derivatives",2016,scientific
elzbieta lenartowicz; julita kesy; agnieszka ruszkowska; marta soszynska-jozwiak; paula michalak; walter n. moss; douglas h. turner; ryszard kierzek; elzbieta kierzek,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3207 medical microbiology,self-folding of naked segment 8 genomic rna of influenza a virus,2016,scientific
shichen shen; jun li; shannon hilchey; xiaomeng shen; chengjian tu; xing qiu; andrew ng; sina ghaemmaghami; hulin wu; martin s. zand; jun qu,american chemical society,31 biological sciences; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3207 medical microbiology,"ion-current-based
temporal proteomic profiling of
influenza-a-virus-infected mouse lungs revealed underlying mechanisms
of altered integrity of the lung microvascular barrier",2016,scientific
claudia berrondo; jonathan flax; victor kucherov; aisha siebert; thomas osinski; alex rosenberg; christopher fucile; samuel richheimer; carla j. beckham,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis; 34 chemical sciences; 34 chemical sciences; 3404 medicinal and biomolecular chemistry,expression of the long non-coding rna hotair correlates with disease progression in bladder cancer and is contained in bladder cancer patient urinary exosomes,2016,scientific
"uttam
k. das; stephanie l. daifuku; serge i. gorelsky; ilia korobkov; michael l. neidig; jennifer j. le
roy; muralee murugesu; r. tom baker",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"mononuclear, dinuclear, and trinuclear iron complexes
featuring a new monoanionic sns thiolate ligand",2016,scientific
malene brohus; vera gorbunova; chris g. faulkes; michael t. overgaard; cheryl a. conover,public library of science,31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences,the insulin-like growth factor system in the long-lived naked mole-rat,2016,scientific
jared l. kneebone; valerie e. fleischauer; stephanie l. daifuku; ari a. shaps; joseph m. bailey; theresa e. iannuzzi; michael l. neidig,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"electronic structure and bonding in iron(ii) and iron(i)
complexes bearing bisphosphine ligands of relevance to iron-catalyzed
c–c cross-coupling",2016,scientific
"bellows, sarina m.; brennessel, william w.; holland, patrick l.",the cambridge structural database,0,ccdc 1477171: experimental crystal structure determination,2016,scientific
"yuwen, jing; jiao, yunzhe; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1485875: experimental crystal structure determination,2016,scientific
"rightmire, nicholas r.; bruns, david l.; hanusa, timothy p.; brennessel, william w.",the cambridge structural database,0,ccdc 1410602: experimental crystal structure determination,2016,scientific
"baker, tessa m.; mako, teresa l.; vasilopoulos, aristidis; li, bo; byers, jeffery a.; neidig, michael l.",the cambridge structural database,0,ccdc 1487871: experimental crystal structure determination,2016,scientific
"castro-rodrigo, ruth; chakraborty, sumit; munjanja, lloyd; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1481789: experimental crystal structure determination,2016,scientific
"boeckman junior, robert k.; wang, hui; rugg, kyle w.; genung, nathan e.; chen, ke; ryder, todd r.",the cambridge structural database,0,ccdc 1521504: experimental crystal structure determination,2016,scientific
"lv, hongjin; ruberu, t. purnima a.; fleischauer, valerie e.; brennessel, william w.; neidig, michael l.; eisenberg, richard",the cambridge structural database,0,ccdc 1505239: experimental crystal structure determination,2016,scientific
"chan, natalie h.; roache, james h.; jones, william d.",the cambridge structural database,0,ccdc 1408675: experimental crystal structure determination,2016,scientific
"karim, m.t.; stassun, k.g.; briceno, c.; vivas, a.k.; raetz, s.; mateu, c.; downes, j.j.; calvet, n.; hernandez, j.; neuhauser, r.; mugrauer, m.; takahashi, h.; tachihara, k.; chini, r.; cruz-dias, g.a.; aarnio, a.; james, d.j.; hackstein, m.",strasbourg astronomical data center,0,periods of 4-10 myr old t tauri members of orion ob1,2016,scientific
"gonzalez-garcia, b.; manoj, p.; watson, d.m.; vavrek, r.; megeath, s.t.; stutz, a.m.; osorio, m.; wyrowski, f.; fischer, w.; tobin, j.j.; sanchez-portal, m.; diaz rodriguez, a.k.; wilson., t.l.",strasbourg astronomical data center,0,omc-2 fir 3 and fir 4 oi maps,2016,scientific
"kim, k.h.; watson, d.m.; manoj, p.; forrest, w.j.; furlan, e.; najita, j.; sargent, b.; hernandez, j.; calvet, n.; adame, l.; espaillat, c.; megeath, s.t.; muzerolle, j.; mcclure, m.k.",strasbourg astronomical data center,0,spitzer/irs survey of class ii objects in orion a. i.,2016,scientific
"furlan, e.; fischer, w.j.; ali, b.; stutz, a.m.; stanke, t.; tobin, j.j.; megeath, s.t.; osorio, m.; hartmann, l.; calvet, n.; poteet, c.a.; booker, j.; manoj, p.; watson, d.m.; allen, l.",strasbourg astronomical data center,0,the herschel orion protostar survey (hops): seds,2016,scientific
"gagne, j.; plavchan, p.; gao, p.; anglada-escude, g.; furlan, e.; davison, c.; tanner, a.; henry, t.j.; riedel, a.r.; brinkworth, c.; latham, d.; bottom, m.; white, r.; mills, s.; beichman, c.; johnson, j.a.; ciardi, d.r.; wallace, k.; mennesson, b.; von braun, k.; vasisht, g.; prato, l.; kane, s.r.; mamajek, e.e.; walp, b.; crawford, t.j.; rougeot, r.; geneser, c.s.; catanzarite, j.",strasbourg astronomical data center,0,high resolution nir rvs of k2-m4 low-mass stars,2016,scientific
"sabatini, randy p.; lindley, brian; mccormick, theresa m.; lazarides, theodore; brennessel, william w.; mccamant, david w.; eisenberg, richard",the cambridge structural database,0,ccdc 1406903: experimental crystal structure determination,2016,scientific
"daifuku, stephanie l.; al-afyouni, malik h.; snyder, benjamin e. r.; kneebone, jared l.; neidig, michael l.",the cambridge structural database,0,ccdc 1006047: experimental crystal structure determination,2016,scientific
"boyde, nicholas c.; rightmire, nicholas r.; bierschenk, eric j.; steelman, grant w.; hanusa, timothy p.; brennessel, william w.",the cambridge structural database,0,ccdc 1496574: experimental crystal structure determination,2016,scientific
"bellows, sarina m.; arnet, nicholas a.; gurubasavaraj, prabhuodeyara m.; brennessel, william w.; bill, eckhard; cundari, thomas r.; holland, patrick l.",the cambridge structural database,0,ccdc 1507412: experimental crystal structure determination,2016,scientific
"vaday, shai; geiger, h. cristina; cleary, brian; perlstein, jerry; whitten, david g.",the cambridge structural database,0,ccdc 1507202: experimental crystal structure determination,2016,scientific
"huang, yu-wen; frontier, alison j.",the cambridge structural database,0,ccdc 1510753: experimental crystal structure determination,2016,scientific
"sabatini, randy p.; mark, michael f.; mark, daniel j.; kryman, mark w.; hill, jacqueline e.; brennessel, william w.; detty, michael r.; eisenberg, richard; mccamant, david w.",the cambridge structural database,0,ccdc 1446524: experimental crystal structure determination,2016,scientific
"jiao, y.; brennessel, w.w.; jones, w.d.",the cambridge structural database,0,ccdc 1451243: experimental crystal structure determination,2016,scientific
"das, parthapratim; elder, thomas; brennessel, william w.; chmely, stephen c.",the cambridge structural database,0,ccdc 1441264: experimental crystal structure determination,2016,scientific
"munjanja, lloyd; torres-lópez, coralys; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1474231: experimental crystal structure determination,2016,scientific
"li, feng; vangelder, laurene.; brennessel, william w.; matson, ellen m.",the cambridge structural database,0,ccdc 1500110: experimental crystal structure determination,2016,scientific
"muñoz iii, salvador b.; daifuku, stephanie l.; brennessel, william w.; neidig, michael l.",the cambridge structural database,0,ccdc 1494526: experimental crystal structure determination,2016,scientific
"al-afyouni, malik h.; fillman, kathlyn l.; brennessel, william w.; neidig, michael l.",the cambridge structural database,0,ccdc 1493005: experimental crystal structure determination,2016,scientific
"liyanage, wathsala; nilsson, bradley l.",the cambridge structural database,0,ccdc 1488881: experimental crystal structure determination,2016,scientific
"gunay, ahmet; brennessel, william w.; jones, william d.",the cambridge structural database,0,ccdc 1025295: experimental crystal structure determination,2016,scientific
"spasyuk, denis m.; carpenter, stephanie h.; kefalidis, christos e.; piers, warren e.; neidig, michael l.; maron, laurent",the cambridge structural database,0,ccdc 1439938: experimental crystal structure determination,2016,scientific
"wiltse, heather r.; johnson, alyssa n.; durand, raphael j.; brennessel, william; chin, robert m.",the cambridge structural database,0,ccdc 1476407: experimental crystal structure determination,2016,scientific
"das, uttam k.; daifuku, stephanie l.; gorelsky, serge i.; korobkov, ilia; neidig, michael l.; le roy, jennifer j.; murugesu, muralee; baker, r. tom",the cambridge structural database,0,ccdc 1448698: experimental crystal structure determination,2016,scientific
"kneebone, jared l.; fleischauer, valerie e.; daifuku, stephanie l.; shaps, ari a.; bailey, joseph m.; iannuzzi, theresa e.; neidig, michael l.",the cambridge structural database,0,ccdc 1445732: experimental crystal structure determination,2016,scientific
"nicholas c. boyde; stephen
c. chmely; timothy p. hanusa; arnold
l. rheingold; william w. brennessel",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"structural
distortions in me(sime<sub>3</sub>)<sub>2</sub><sub>3</sub> complexes
(m = group 15, f‑element; e
= n, ch): is three a crowd?",2015,scientific
"barbara procacci; yunzhe jiao; meagan
e. evans; william d. jones; robin n. perutz; adrian c. whitwood",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"activation
of b–h, si–h, and c–f
bonds with tp′rh(pme<sub>3</sub>) complexes: kinetics, mechanism,
and selectivity",2015,scientific
"katarzyna grubel; william
w. brennessel; brandon q. mercado; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"alkali
metal control over n–n cleavage in iron
complexes",2015,scientific
"steven
d. jacob; joshua l. brooks; alison j. frontier",american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"no acid required: 4π
and 6π electrocyclization
reactions of dienyl diketones for the synthesis of cyclopentenones
and 2<i>h</i>‑pyrans",2015,scientific
"chunchao zhang; shan gao; anthony
j. molascon; zhe wang; martin a. gorovsky; yifan liu; philip c. andrews",american chemical society,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology,"bioinformatic and proteomic analysis of bulk histones
reveals ptm crosstalk and chromatin features",2015,scientific
"thomas
r. dugan; eckhard bill; k. cory macleod; william w. brennessel; patrick l. holland",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, spectroscopy, and hydrogen/deuterium exchange
in high-spin iron(ii) hydride complexes",2015,scientific
alexander s. baras; christopher j. mitchell; jason r. myers; simone gupta; lien-chun weng; john m. ashton; toby c. cornish; akhilesh pandey; marc k. halushka,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology,mirge - a multiplexed method of processing small rna-seq data to determine microrna entropy,2015,scientific
goker erdogan; ilker yildirim; robert a. jacobs,public library of science,49 mathematical sciences; 49 mathematical sciences; 4901 applied mathematics,correlations based on condition-level similarity matrices formed by averaging subject-level matrices for the subjects belonging to each condition.,2015,scientific
"sumit chakraborty; paige
e. piszel; william w. brennessel; william d. jones",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a single nickel catalyst for the acceptorless dehydrogenation
of alcohols and hydrogenation of carbonyl compounds",2015,scientific
alexis stein; lidza kalifa; elaine a. sia,public library of science,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 3105 genetics,members of the <i>rad52</i> epistasis group contribute to mitochondrial homologous recombination and double-strand break repair in <i>saccharomyces cerevisiae</i>,2015,scientific
steven david rosenblatt; benjamin thomas crane,public library of science,40 engineering; 42 health sciences; 4207 sports science and exercise,difference between the means from the left and right staircases from each block as measured in terms of peak velocity.,2015,scientific
xuming tong; jinghang chen; hongyu miao; tingting li; le zhang,public library of science,37 earth sciences; 3704 geoinformatics; 46 information and computing sciences,development of an agent-based model (abm) to simulate the immune system and integration of a regression method to estimate the key abm parameters by fitting the experimental data,2015,scientific
luisa f. pallares; peter carbonetto; shyam gopalakrishnan; clarissa c. parker; cheryl l. ackert-bicknell; abraham a. palmer; diethard tautz,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,mapping of craniofacial traits in outbred mice identifies major developmental genes involved in shape determination,2015,scientific
"malik
h. al-afyouni; v. mahesh krishnan; hadi d. arman; zachary j. tonzetich",american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis and reactivity of manganese(ii) complexes
containing n‑heterocyclic carbene ligands",2015,scientific
