,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
1461,icpsr,Social Science,"park, yena",replication data for: constrained efficiency in a human capital model,2018, finance and investment,5,4,5,1
1462,icpsr,Social Science,"park, yena",replication data for: constrained efficiency in a human capital model,2018, 38 economics,18,12,18,4
1465,icpsr,Social Science,"bils, mark; klenow, peter j.; malin, benjamin a.",replication data for: resurrecting the role of the product market wedge in recessions,2018,38 economics,9,8,9,4
1466,icpsr,Social Science,"bils, mark; klenow, peter j.; malin, benjamin a.",replication data for: resurrecting the role of the product market wedge in recessions,2018, 38 economics,18,12,18,4
1469,icpsr,Social Science,"bils, mark; klenow, peter j.; malin, benjamin a.",replication data for: resurrecting the role of the product market wedge in recessions,2018, 44 human society,17,13,17,6
1470,genetics society of america (gsa),medical/health,"ching-ho chang; larracuente, amanda m.","supplemental material for chang and larracuente, 2018",2018,31 biological sciences,148,18,148,9
1471,genetics society of america (gsa),medical/health,"ching-ho chang; larracuente, amanda m.","supplemental material for chang and larracuente, 2018",2018, 31 biological sciences,123,17,123,10
1497,mendeley,general,"nam, jong-hoon",data for: an operating principle of the turtle utricle to detect wide dynamic range,2018,46 information and computing sciences,15,6,15,5
1498,mendeley,general,"nam, jong-hoon",data for: an operating principle of the turtle utricle to detect wide dynamic range,2018, 46 information and computing sciences,19,9,19,5
1500,springer nature,geology/environment,yuhang liu; jinfeng zhang; xing qiu,additional file 2 of super-delta: a new differential gene expression analysis procedure with robust data normalization,2017,31 biological sciences,148,18,148,9
1502,springer nature,geology/environment,yuhang liu; jinfeng zhang; xing qiu,additional file 2 of super-delta: a new differential gene expression analysis procedure with robust data normalization,2017, 32 biomedical and clinical sciences,136,16,136,12
1503,american chemical society,scientific,"naveen
v. kulkarni; william w. brennessel; william d. jones",catalytic upgrading of ethanol to <i>n</i>‑butanol via manganese-mediated guerbet reaction,2017,34 chemical sciences,244,28,244,4
1504,american chemical society,scientific,"naveen
v. kulkarni; william w. brennessel; william d. jones",catalytic upgrading of ethanol to <i>n</i>‑butanol via manganese-mediated guerbet reaction,2017, 34 chemical sciences,249,28,249,4
1506,public library of science,scientific,eric s. kim; andrea m. baran; esther l. mondo; thomas d. rodgers; gradon c. nielsen; david w. dougherty; kishan j. pandya; david q. rich; edwin van wijngaarden,patient characteristics categorized by carboplatin and cisplatin groups.,2017,32 biomedical and clinical sciences,119,14,119,13
1507,public library of science,scientific,eric s. kim; andrea m. baran; esther l. mondo; thomas d. rodgers; gradon c. nielsen; david w. dougherty; kishan j. pandya; david q. rich; edwin van wijngaarden,patient characteristics categorized by carboplatin and cisplatin groups.,2017, 32 biomedical and clinical sciences,136,16,136,12
1509,public library of science,scientific,habiba azab; benjamin y. hayden,correlates of decisional dynamics in the dorsal anterior cingulate cortex,2017,32 biomedical and clinical sciences,119,14,119,13
1510,public library of science,scientific,habiba azab; benjamin y. hayden,correlates of decisional dynamics in the dorsal anterior cingulate cortex,2017, 52 psychology,33,13,33,5
1512,public library of science,scientific,iris chen; yogeshwar d. kelkar; yu gu; jie zhou; xing qiu; hulin wu,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017,46 information and computing sciences,15,6,15,5
1513,public library of science,scientific,iris chen; yogeshwar d. kelkar; yu gu; jie zhou; xing qiu; hulin wu,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, 46 information and computing sciences,19,9,19,5
1515,public library of science,scientific,charly abi ghanem; cindy degerny; rashad hussain; philippe liere; antoine pianos; sophie tourpin; rené habert; wendy b. macklin; michael schumacher; abdel m. ghoumari,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017,32 biomedical and clinical sciences,119,14,119,13
1516,public library of science,scientific,charly abi ghanem; cindy degerny; rashad hussain; philippe liere; antoine pianos; sophie tourpin; rené habert; wendy b. macklin; michael schumacher; abdel m. ghoumari,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, 52 psychology,33,13,33,5
1518,public library of science,scientific,woong-joo whang; junjie piao; young-sik yoo; choun-ki joo; geunyoung yoon,the efficiency of aspheric intraocular lens according to biometric measurements,2017,32 biomedical and clinical sciences,119,14,119,13
1519,public library of science,scientific,woong-joo whang; junjie piao; young-sik yoo; choun-ki joo; geunyoung yoon,the efficiency of aspheric intraocular lens according to biometric measurements,2017, 32 biomedical and clinical sciences,136,16,136,12
1520,public library of science,scientific,woong-joo whang; junjie piao; young-sik yoo; choun-ki joo; geunyoung yoon,the efficiency of aspheric intraocular lens according to biometric measurements,2017, 3212 ophthalmology and optometry,13,8,13,2
1521,public library of science,scientific,ritika das; justine a. melo; manjunatha thondamal; elizabeth a. morton; adam b. cornwell; beresford crick; joung heon kim; elliot w. swartz; todd lamitina; peter m. douglas; andrew v. samuelson,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017,31 biological sciences,148,18,148,9
1522,public library of science,scientific,ritika das; justine a. melo; manjunatha thondamal; elizabeth a. morton; adam b. cornwell; beresford crick; joung heon kim; elliot w. swartz; todd lamitina; peter m. douglas; andrew v. samuelson,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, 31 biological sciences,123,17,123,10
1524,taylor & francis group,Math/physics/computerScience,adam b. olshen; robert l. strawderman; gregory ryslik; karen lostritto; alice m. arnold; annette m. molinaro,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017,46 information and computing sciences,15,6,15,5
1525,taylor & francis group,Math/physics/computerScience,adam b. olshen; robert l. strawderman; gregory ryslik; karen lostritto; alice m. arnold; annette m. molinaro,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, 46 information and computing sciences,19,9,19,5
1526,taylor & francis group,Math/physics/computerScience,adam b. olshen; robert l. strawderman; gregory ryslik; karen lostritto; alice m. arnold; annette m. molinaro,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, 4611 machine learning,5,5,5,3
1528,public library of science,scientific,kohei nishitani; zachary mietus; christopher a. beck; hiromu ito; shuichi matsuda; hani a. awad; nicole ehrhart; edward m. schwarz,high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, veterinary and food sciences,11,8,11,3
1530,public library of science,scientific,kohei nishitani; zachary mietus; christopher a. beck; hiromu ito; shuichi matsuda; hani a. awad; nicole ehrhart; edward m. schwarz,high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, 32 biomedical and clinical sciences,136,16,136,12
1531,american chemical society,scientific,"donald
c. batesky; matthew j. goldfogel; daniel j. weix","removal of triphenylphosphine
oxide by precipitation
with zinc chloride in polar solvents",2017,34 chemical sciences,244,28,244,4
1532,american chemical society,scientific,"donald
c. batesky; matthew j. goldfogel; daniel j. weix","removal of triphenylphosphine
oxide by precipitation
with zinc chloride in polar solvents",2017, 34 chemical sciences,249,28,249,4
1534,taylor & francis group,Math/physics/computerScience,midian c. castillo pedraza; tatiana f. novais; roberta c. faustoferri; robert g. quivey jr.; anton terekhov; bruce r. hamaker; marlise i. klein,extracellular dna and lipoteichoic acids interact with exopolysaccharides in the extracellular matrix of <i>streptococcus mutans</i> biofilms,2017,32 biomedical and clinical sciences,119,14,119,13
1535,taylor & francis group,Math/physics/computerScience,midian c. castillo pedraza; tatiana f. novais; roberta c. faustoferri; robert g. quivey jr.; anton terekhov; bruce r. hamaker; marlise i. klein,extracellular dna and lipoteichoic acids interact with exopolysaccharides in the extracellular matrix of <i>streptococcus mutans</i> biofilms,2017, 32 biomedical and clinical sciences,136,16,136,12
1538,springer nature,geology/environment,meng wang; peiwei zhang; yufei zhu; xiangyin kong; zhenguo zhang; landian hu,additional file 2: of assessing the activity of nonsense-mediated mrna decay in lung cancer,2017,32 biomedical and clinical sciences,119,14,119,13
1539,springer nature,geology/environment,meng wang; peiwei zhang; yufei zhu; xiangyin kong; zhenguo zhang; landian hu,additional file 2: of assessing the activity of nonsense-mediated mrna decay in lung cancer,2017, 3211 oncology and carcinogenesis,8,7,8,5
1540,springer nature,geology/environment,meng wang; peiwei zhang; yufei zhu; xiangyin kong; zhenguo zhang; landian hu,additional file 2: of assessing the activity of nonsense-mediated mrna decay in lung cancer,2017, 51 physical sciences,15,10,15,8
1542,american chemical society,scientific,miles wilklow-marnell; bo li; tian zhou; karsten krogh-jespersen; william w. brennessel; thomas j. emge; alan s. goldman; william d. jones,"catalytic
dehydrogenative c–c coupling by a
pincer-ligated iridium complex",2017,34 chemical sciences,244,28,244,4
1543,american chemical society,scientific,miles wilklow-marnell; bo li; tian zhou; karsten krogh-jespersen; william w. brennessel; thomas j. emge; alan s. goldman; william d. jones,"catalytic
dehydrogenative c–c coupling by a
pincer-ligated iridium complex",2017, 34 chemical sciences,249,28,249,4
1546,public library of science,scientific,karen e. mulak; cory d. bonn; kateřina chládková; richard n. aslin; paola escudero,"indexical and linguistic processing by 12-month-olds: discrimination of speaker, accent and vowel differences",2017,47 language,5,4,5,2
1547,public library of science,scientific,karen e. mulak; cory d. bonn; kateřina chládková; richard n. aslin; paola escudero,"indexical and linguistic processing by 12-month-olds: discrimination of speaker, accent and vowel differences",2017, communication and culture,7,5,7,3
1548,public library of science,scientific,karen e. mulak; cory d. bonn; kateřina chládková; richard n. aslin; paola escudero,"indexical and linguistic processing by 12-month-olds: discrimination of speaker, accent and vowel differences",2017, 47 language,5,3,5,2
1551,public library of science,scientific,karen e. mulak; cory d. bonn; kateřina chládková; richard n. aslin; paola escudero,"indexical and linguistic processing by 12-month-olds: discrimination of speaker, accent and vowel differences",2017, 52 psychology,33,13,33,5
1554,american chemical society,scientific,gobinda das; tina skorjanc; sudhir kumar sharma; felipe gándara; matteo lusi; d. s. shankar rao; sridurai vimala; subbarao krishna prasad; jesus raya; dong suk han; ramesh jagannathan; john-carl olsen; ali trabolsi,"viologen-based
conjugated covalent organic networks via zincke reaction",2017,34 chemical sciences,244,28,244,4
1555,american chemical society,scientific,gobinda das; tina skorjanc; sudhir kumar sharma; felipe gándara; matteo lusi; d. s. shankar rao; sridurai vimala; subbarao krishna prasad; jesus raya; dong suk han; ramesh jagannathan; john-carl olsen; ali trabolsi,"viologen-based
conjugated covalent organic networks via zincke reaction",2017, 34 chemical sciences,249,28,249,4
1559,public library of science,scientific,jeffrey sosa-calvo; ana ješovnik; heraldo l. vasconcelos; mauricio bacci jr.; ted r. schultz,nest measurements and colony demographics of 21 excavated nests of <i>mycetophylax asper</i> in floresta nacional de chapecó (fn-chapecó).,2017,31 biological sciences,148,18,148,9
1560,public library of science,scientific,jeffrey sosa-calvo; ana ješovnik; heraldo l. vasconcelos; mauricio bacci jr.; ted r. schultz,nest measurements and colony demographics of 21 excavated nests of <i>mycetophylax asper</i> in floresta nacional de chapecó (fn-chapecó).,2017, 31 biological sciences,123,17,123,10
1562,american chemical society,scientific,sarina m. bellows; sumit chakraborty; j. brannon gary; william d. jones; thomas r. cundari,"an uncanny dehydrogenation mechanism: polar bond control
over stepwise or concerted transition states",2017,34 chemical sciences,244,28,244,4
1563,american chemical society,scientific,sarina m. bellows; sumit chakraborty; j. brannon gary; william d. jones; thomas r. cundari,"an uncanny dehydrogenation mechanism: polar bond control
over stepwise or concerted transition states",2017, 34 chemical sciences,249,28,249,4
1567,american chemical society,scientific,"jared
l. kneebone; william w. brennessel; michael l. neidig","intermediates
and reactivity in iron-catalyzed cross-couplings
of alkynyl grignards with alkyl halides",2017,34 chemical sciences,244,28,244,4
1568,american chemical society,scientific,"jared
l. kneebone; william w. brennessel; michael l. neidig","intermediates
and reactivity in iron-catalyzed cross-couplings
of alkynyl grignards with alkyl halides",2017, 34 chemical sciences,249,28,249,4
1573,public library of science,scientific,martin s. zand; melissa trayhan; samir a. farooq; christopher fucile; gourab ghoshal; robert j. white; caroline m. quill; alexander rosenberg; hugo serrano barbosa; kristen bush; hassan chafi; timothy boudreau,properties of healthcare teaming networks as a function of network construction algorithms,2017, 46 information and computing sciences,19,9,19,5
1574,public library of science,scientific,sanchit gupta; karl seydel; miguel a. miranda-roman; catherine m. feintuch; alex saidi; ryung s. kim; gretchen l. birbeck; terrie taylor; johanna p. daily,extensive alterations of blood metabolites in pediatric cerebral malaria,2017,32 biomedical and clinical sciences,119,14,119,13
1575,public library of science,scientific,sanchit gupta; karl seydel; miguel a. miranda-roman; catherine m. feintuch; alex saidi; ryung s. kim; gretchen l. birbeck; terrie taylor; johanna p. daily,extensive alterations of blood metabolites in pediatric cerebral malaria,2017, 32 biomedical and clinical sciences,136,16,136,12
1579,public library of science,scientific,sanchit gupta; karl seydel; miguel a. miranda-roman; catherine m. feintuch; alex saidi; ryung s. kim; gretchen l. birbeck; terrie taylor; johanna p. daily,extensive alterations of blood metabolites in pediatric cerebral malaria,2017, 34 chemical sciences,249,28,249,4
1582,american chemical society,scientific,jing yuwen; sumit chakraborty; william w. brennessel; william d. jones,"additive-free cobalt-catalyzed hydrogenation of esters
to alcohols",2017,34 chemical sciences,244,28,244,4
1583,american chemical society,scientific,jing yuwen; sumit chakraborty; william w. brennessel; william d. jones,"additive-free cobalt-catalyzed hydrogenation of esters
to alcohols",2017, 34 chemical sciences,249,28,249,4
1587,american chemical society,scientific,antonio tinoco; viktoria steck; vikas tyagi; rudi fasan,"highly
diastereo- and enantioselective synthesis of
trifluoromethyl-substituted cyclopropanes via myoglobin-catalyzed
transfer of trifluoromethylcarbene",2017,34 chemical sciences,244,28,244,4
1588,american chemical society,scientific,antonio tinoco; viktoria steck; vikas tyagi; rudi fasan,"highly
diastereo- and enantioselective synthesis of
trifluoromethyl-substituted cyclopropanes via myoglobin-catalyzed
transfer of trifluoromethylcarbene",2017, 34 chemical sciences,249,28,249,4
1591,public library of science,scientific,fei wang; qi fang; beibei wang; zhichao yan; jian hong; yiming bao; jens h. kuhn; john h. werren; qisheng song; gongyin ye,a novel negative-stranded rna virus mediates sex ratio in its parasitoid host,2017,31 biological sciences,148,18,148,9
1592,public library of science,scientific,fei wang; qi fang; beibei wang; zhichao yan; jian hong; yiming bao; jens h. kuhn; john h. werren; qisheng song; gongyin ye,a novel negative-stranded rna virus mediates sex ratio in its parasitoid host,2017, 41 environmental sciences,9,8,9,5
1595,public library of science,scientific,junjie piao; ying-jun li; woong-joo whang; mihyun choi; min ji kang; jee hye lee; geunyoung yoon; choun-ki joo,patient population and preoperative postoperative average values.,2017,32 biomedical and clinical sciences,119,14,119,13
1596,public library of science,scientific,junjie piao; ying-jun li; woong-joo whang; mihyun choi; min ji kang; jee hye lee; geunyoung yoon; choun-ki joo,patient population and preoperative postoperative average values.,2017, 32 biomedical and clinical sciences,136,16,136,12
1598,american chemical society,scientific,"matthew
c. leclerc; bulat m. gabidullin; jason g. da gama; stephanie l. daifuku; theresa e. iannuzzi; michael l. neidig; r. tom baker","transition-metal-free formation of c–e bonds
(e = c, n, o, s) and formation of c–m bonds (m = mn, mo) from <i>n</i>‑heterocyclic carbene mediated fluoroalkene c–f
bond activation",2017,34 chemical sciences,244,28,244,4
1599,american chemical society,scientific,"matthew
c. leclerc; bulat m. gabidullin; jason g. da gama; stephanie l. daifuku; theresa e. iannuzzi; michael l. neidig; r. tom baker","transition-metal-free formation of c–e bonds
(e = c, n, o, s) and formation of c–m bonds (m = mn, mo) from <i>n</i>‑heterocyclic carbene mediated fluoroalkene c–f
bond activation",2017, 34 chemical sciences,249,28,249,4
1602,springer nature,geology/environment,guoqin yu; stephen phillips; mitchell gail; james goedert; michael humphrys; jacques ravel; yanfang ren; neil caporaso,additional file 2: table s2. of the effect of cigarette smoking on the oral and nasal microbiota,2017,32 biomedical and clinical sciences,119,14,119,13
1603,springer nature,geology/environment,guoqin yu; stephen phillips; mitchell gail; james goedert; michael humphrys; jacques ravel; yanfang ren; neil caporaso,additional file 2: table s2. of the effect of cigarette smoking on the oral and nasal microbiota,2017, 32 biomedical and clinical sciences,136,16,136,12
1605,sage journals,scientific,clayton thyne; jonathan powell; sarah parrott; emily vanmeter,"supplemental material, thyne_etal_jcrreps - even generals need friends: how domestic and international reactions to coups influence regime survival",2017,44 human society,7,7,7,4
1606,sage journals,scientific,clayton thyne; jonathan powell; sarah parrott; emily vanmeter,"supplemental material, thyne_etal_jcrreps - even generals need friends: how domestic and international reactions to coups influence regime survival",2017, 44 human society,17,13,17,6
1608,american chemical society,scientific,"james
g. koch; william w. brennessel; bradley m. kraft",neutral and cationic bis-chelate monoorganosilicon(iv) complexes of 1‑hydroxy-2-pyridinone,2017,34 chemical sciences,244,28,244,4
1609,american chemical society,scientific,"james
g. koch; william w. brennessel; bradley m. kraft",neutral and cationic bis-chelate monoorganosilicon(iv) complexes of 1‑hydroxy-2-pyridinone,2017, 34 chemical sciences,249,28,249,4
1611,american chemical society,scientific,megan e. reesbeck; katarzyna grubel; daniel kim; william w. brennessel; brandon q. mercado; patrick l. holland,"diazoalkanes in low-coordinate iron chemistry: bimetallic diazoalkyl and alkylidene
complexes of iron(ii)",2017,34 chemical sciences,244,28,244,4
1612,american chemical society,scientific,megan e. reesbeck; katarzyna grubel; daniel kim; william w. brennessel; brandon q. mercado; patrick l. holland,"diazoalkanes in low-coordinate iron chemistry: bimetallic diazoalkyl and alkylidene
complexes of iron(ii)",2017, 34 chemical sciences,249,28,249,4
1614,american chemical society,scientific,"asaminew
h. aytenfisu; aleksandar spasic; alan grossfield; harry a. stern; david h. mathews","revised rna dihedral parameters for the amber force
field improve rna molecular dynamics",2017,34 chemical sciences,244,28,244,4
1615,american chemical society,scientific,"asaminew
h. aytenfisu; aleksandar spasic; alan grossfield; harry a. stern; david h. mathews","revised rna dihedral parameters for the amber force
field improve rna molecular dynamics",2017, 34 chemical sciences,249,28,249,4
1617,mendeley,general,"petosa, carlo; bednar, jan; garcia-saez, isabel; boopathi, ramachandran; cutter, amber; papai, gabor; reymer, anna; syed, sajad hussain; lone, imtiaz; tonchev, ognyan; crucifix, corinne; menoni, hervé; papin, christophe; skoufias, dimitrios; kurumizaka, hitoshi; lavery, richard; hamiche, ali; hayes, jeffrey; schulz, patrick; angelov, dimitar; dimitrov, stefan",molecular-cell-d-16-01575 bednar et al.,2017,34 chemical sciences,244,28,244,4
1618,mendeley,general,"petosa, carlo; bednar, jan; garcia-saez, isabel; boopathi, ramachandran; cutter, amber; papai, gabor; reymer, anna; syed, sajad hussain; lone, imtiaz; tonchev, ognyan; crucifix, corinne; menoni, hervé; papin, christophe; skoufias, dimitrios; kurumizaka, hitoshi; lavery, richard; hamiche, ali; hayes, jeffrey; schulz, patrick; angelov, dimitar; dimitrov, stefan",molecular-cell-d-16-01575 bednar et al.,2017, 34 chemical sciences,249,28,249,4
1620,mendeley,general,"petosa, carlo; bednar, jan; garcia, isabel; boopathi, ramachandran; cutter, amber; papai, gabor; reymer, anna; syed, sajad hussain; lone, imtiaz; tonchev, ognyan; crucifix, corinne; menoni, hervé; papin, christophe; skoufias, dimitrios; kurumizaka, hitoshi; lavery, richard; hamiche, ali; hayes, jeffrey; schulz, patrick; angelov, dimitar; dimitrov, stefan",molecular-cell-d-16-01575 bednar et al.,2017,34 chemical sciences,244,28,244,4
1621,mendeley,general,"petosa, carlo; bednar, jan; garcia, isabel; boopathi, ramachandran; cutter, amber; papai, gabor; reymer, anna; syed, sajad hussain; lone, imtiaz; tonchev, ognyan; crucifix, corinne; menoni, hervé; papin, christophe; skoufias, dimitrios; kurumizaka, hitoshi; lavery, richard; hamiche, ali; hayes, jeffrey; schulz, patrick; angelov, dimitar; dimitrov, stefan",molecular-cell-d-16-01575 bednar et al.,2017, 34 chemical sciences,249,28,249,4
1629,pangaea,geology/environment,"winstrup, mai; vallelonga, paul t",roosevelt island climate evolution (rice) ice core: the rice17 chronology and accumulation record for the past 2700 years,2017,37 earth sciences,16,9,16,6
1630,pangaea,geology/environment,"winstrup, mai; vallelonga, paul t",roosevelt island climate evolution (rice) ice core: the rice17 chronology and accumulation record for the past 2700 years,2017, 37 earth sciences,18,9,18,6
1633,pangaea,geology/environment,"bertler, nancy a; conway, howard; dahl-jensen, dorthe; emanuelsson, urban; winstrup, mai; vallelonga, paul t; lee, james e; brook, edward j; severinghaus, jeffrey p; fudge, tyler j; keller, elizabeth d; baisden, w troy; hindmarsh, richard c a; neff, peter d; blunier, thomas; edwards, ross l; mayewski, paul andrew; kipfstuhl, sepp; buizert, christo; canessa, silvia; dadic, ruzica; kjær, helle astrid; kurbatov, andrei; zhang, dongqi; waddington, edwin d; baccolo, giovanni; beers, thomas; brightley, hannah j; carter, lionel; clemens-sewall, david; ciobanu, viorela g; delmonte, barbara; eling, lukas; ellis, aja a; ganesh, shruthi; golledge, nicholas r; haines, skylar a; handley, michael; hawley, robert l; hogan, chad m; johnson, katelyn m; korotkikh, elena; lowry, daniel p; mandeno, darcy; mckay, robert m; menking, james a; naish, timothy r; noerling, caroline; ollive, agathe; orsi, anais j; proemse, bernadette c; pyne, alexander r; pyne, rebecca l; renwick, james; scherer, reed p; semper, stefanie; simonsen, marius; sneed, sharon b; steig, eric j; tuohy, andrea; ulayottil venugopal, abhijith; valero-delgado, fernando; venkatesh, janani; wang, feitang; wang, shimeng; winski, dominic a; winton, victoria h l; whiteford, arran; xiao, cunde; yang, jiao; zhang, xin","roosevelt island climate evolution (rice) ice core isotope record, supplement to: bertler, nancy a; conway, howard; dahl-jensen, dorthe; emanuelsson, urban; winstrup, mai; vallelonga, paul t; lee, james e; brook, edward j; severinghaus, jeffrey p; fudge, tyler j; keller, elizabeth d; baisden, w troy; hindmarsh, richard c a; neff, peter d; blunier, thomas; edwards, ross l; mayewski, paul andrew; kipfstuhl, sepp; buizert, christo; canessa, silvia; dadic, ruzica; kjær, helle astrid; kurbatov, andrei; zhang, dongqi; waddington, edwin d; baccolo, giovanni; beers, thomas; brightley, hannah j; carter, lionel; clemens-sewall, david; ciobanu, viorela g; delmonte, barbara; eling, lukas; ellis, aja a; ganesh, shruthi; golledge, nicholas r; haines, skylar a; handley, michael; hawley, robert l; hogan, chad m; johnson, katelyn m; korotkikh, elena; lowry, daniel p; mandeno, darcy; mckay, robert m; menking, james a; naish, timothy r; noerling, caroline; ollive, agathe; orsi, anais j; proemse, bernadette c; pyne, alexander r; pyne, rebecca l; renwick, james; scherer, reed p; semper, stefanie; simonsen, marius; sneed, sharon b; steig, eric j; tuohy, andrea; ulayottil venugopal, abhijith; valero-delgado, fernando; venkatesh, janani; wang, feitang; wang, shimeng; winski, dominic a; winton, victoria h l; whiteford, arran; xiao, cunde; yang, jiao; zhang, xin (2018): the ross sea dipole - temperature, snow accumulation and sea ice variability in the ross sea region, antarctica, over the past 2700 years. climate of the past, 14, 193-214",2017,37 earth sciences,16,9,16,6
1634,pangaea,geology/environment,"bertler, nancy a; conway, howard; dahl-jensen, dorthe; emanuelsson, urban; winstrup, mai; vallelonga, paul t; lee, james e; brook, edward j; severinghaus, jeffrey p; fudge, tyler j; keller, elizabeth d; baisden, w troy; hindmarsh, richard c a; neff, peter d; blunier, thomas; edwards, ross l; mayewski, paul andrew; kipfstuhl, sepp; buizert, christo; canessa, silvia; dadic, ruzica; kjær, helle astrid; kurbatov, andrei; zhang, dongqi; waddington, edwin d; baccolo, giovanni; beers, thomas; brightley, hannah j; carter, lionel; clemens-sewall, david; ciobanu, viorela g; delmonte, barbara; eling, lukas; ellis, aja a; ganesh, shruthi; golledge, nicholas r; haines, skylar a; handley, michael; hawley, robert l; hogan, chad m; johnson, katelyn m; korotkikh, elena; lowry, daniel p; mandeno, darcy; mckay, robert m; menking, james a; naish, timothy r; noerling, caroline; ollive, agathe; orsi, anais j; proemse, bernadette c; pyne, alexander r; pyne, rebecca l; renwick, james; scherer, reed p; semper, stefanie; simonsen, marius; sneed, sharon b; steig, eric j; tuohy, andrea; ulayottil venugopal, abhijith; valero-delgado, fernando; venkatesh, janani; wang, feitang; wang, shimeng; winski, dominic a; winton, victoria h l; whiteford, arran; xiao, cunde; yang, jiao; zhang, xin","roosevelt island climate evolution (rice) ice core isotope record, supplement to: bertler, nancy a; conway, howard; dahl-jensen, dorthe; emanuelsson, urban; winstrup, mai; vallelonga, paul t; lee, james e; brook, edward j; severinghaus, jeffrey p; fudge, tyler j; keller, elizabeth d; baisden, w troy; hindmarsh, richard c a; neff, peter d; blunier, thomas; edwards, ross l; mayewski, paul andrew; kipfstuhl, sepp; buizert, christo; canessa, silvia; dadic, ruzica; kjær, helle astrid; kurbatov, andrei; zhang, dongqi; waddington, edwin d; baccolo, giovanni; beers, thomas; brightley, hannah j; carter, lionel; clemens-sewall, david; ciobanu, viorela g; delmonte, barbara; eling, lukas; ellis, aja a; ganesh, shruthi; golledge, nicholas r; haines, skylar a; handley, michael; hawley, robert l; hogan, chad m; johnson, katelyn m; korotkikh, elena; lowry, daniel p; mandeno, darcy; mckay, robert m; menking, james a; naish, timothy r; noerling, caroline; ollive, agathe; orsi, anais j; proemse, bernadette c; pyne, alexander r; pyne, rebecca l; renwick, james; scherer, reed p; semper, stefanie; simonsen, marius; sneed, sharon b; steig, eric j; tuohy, andrea; ulayottil venugopal, abhijith; valero-delgado, fernando; venkatesh, janani; wang, feitang; wang, shimeng; winski, dominic a; winton, victoria h l; whiteford, arran; xiao, cunde; yang, jiao; zhang, xin (2018): the ross sea dipole - temperature, snow accumulation and sea ice variability in the ross sea region, antarctica, over the past 2700 years. climate of the past, 14, 193-214",2017, 37 earth sciences,18,9,18,6
1637,niaid,medical/health,"eisenberg, robert; immport",anti-cd20 in sle (ac002),2017,32 biomedical and clinical sciences,119,14,119,13
1639,niaid,medical/health,"eisenberg, robert; immport",anti-cd20 in sle (ac002),2017, 36 creative arts and writing,5,4,5,4
1657,hepdata,Math/physics/computerScience,"abramson, j.; andrews, d.e.; harvey, john r.; lobkowicz, f.; may, e.n.; nelson, c.a.; singer, m.; thorndike, e.h.; nordberg, m.e.","""table 6"" of ""elastic photoproduction of omega mesons from hydrogen, deuterium, and complex nuclei""",2017,51 physical sciences,7,5,7,5
1658,hepdata,Math/physics/computerScience,"abramson, j.; andrews, d.e.; harvey, john r.; lobkowicz, f.; may, e.n.; nelson, c.a.; singer, m.; thorndike, e.h.; nordberg, m.e.","""table 6"" of ""elastic photoproduction of omega mesons from hydrogen, deuterium, and complex nuclei""",2017, 51 physical sciences,15,10,15,8
1660,public library of science,scientific,michael o. navarro; garfield t. kwan; olga batalov; chelsea y. choi; n. tessa pierce; lisa a. levin,"development of embryonic market squid, <i>doryteuthis opalescens</i>, under chronic exposure to low environmental ph and o<sub>2</sub>",2016,31 biological sciences,148,18,148,9
1662,public library of science,scientific,michael o. navarro; garfield t. kwan; olga batalov; chelsea y. choi; n. tessa pierce; lisa a. levin,"development of embryonic market squid, <i>doryteuthis opalescens</i>, under chronic exposure to low environmental ph and o<sub>2</sub>",2016, 41 environmental sciences,9,8,9,5
1663,mendeley,general,"firpo, sergio",data for: the relationship between federal budget amendments and local electoral power,2016,38 economics,9,8,9,4
1664,mendeley,general,"firpo, sergio",data for: the relationship between federal budget amendments and local electoral power,2016, 38 economics,18,12,18,4
1666,mendeley,general,"firpo, sergio",data for: the relationship between federal budget amendments and local electoral power,2016, 44 human society,17,13,17,6
