,publisher,publisher_categories,keywords,title,publicationYear,author(s),tot_appearances,tot_pubYrs,tot_keywords,tot_publishers
3474,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018,"banerjee, atanu",5,4,1,1
3475,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," tolla, azam s.",1,1,1,1
3476,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," stjepanovic, slavica",2,2,1,1
3477,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," sevilla, michael d.",3,3,1,1
3478,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," goodsell, justin l.",1,1,1,1
3479,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," angerhofer, alexander",1,1,1,1
3480,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3481,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," loloee, reza",4,4,1,1
3482,the cambridge structural database,scientific,0,ccdc 1539712: experimental crystal structure determination,2018," chavez, ferman a.",9,6,1,1
3483,the cambridge structural database,scientific,0,ccdc 1856905: experimental crystal structure determination,2018,"meyer, rachel l.",3,3,1,1
3484,the cambridge structural database,scientific,0,ccdc 1856905: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3485,the cambridge structural database,scientific,0,ccdc 1856905: experimental crystal structure determination,2018," matson, ellen m.",15,7,1,1
3486,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018,"roy, lisa",1,1,1,1
3487,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," al-afyouni, malik h.",4,4,1,1
3488,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," derosha, daniel e.",3,2,1,1
3489,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," mondal, bhaskar",1,1,1,1
3490,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," dimucci, ida m.",1,1,1,1
3491,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," lancaster, kyle m.",1,1,1,1
3492,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," shearer, jason",1,1,1,1
3493,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," bill, eckhard",6,5,1,1
3494,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3495,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," neese, frank",3,3,1,1
3496,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," ye, shengfa",2,2,1,1
3497,the cambridge structural database,scientific,0,ccdc 1829517: experimental crystal structure determination,2018," holland, patrick l.",21,6,1,1
3498,the cambridge structural database,scientific,0,ccdc 1862588: experimental crystal structure determination,2018,"sears, jeffrey d.",3,3,1,1
3499,the cambridge structural database,scientific,0,ccdc 1862588: experimental crystal structure determination,2018," muñoz iii, salvador b.",2,1,1,1
3500,the cambridge structural database,scientific,0,ccdc 1862588: experimental crystal structure determination,2018," cuenca, maria camila aguilera",1,1,1,1
3501,the cambridge structural database,scientific,0,ccdc 1862588: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3502,the cambridge structural database,scientific,0,ccdc 1862588: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3503,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018,"banerjee, atanu",5,4,1,1
3504,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," li, jia",8,5,1,1
3505,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," speelman, amy l.",1,1,1,1
3506,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," white, corey j.",1,1,1,1
3507,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," pawlak, piotr l.",2,2,1,1
3508,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3509,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," lehnert, nicolai",1,1,1,1
3510,the cambridge structural database,scientific,0,ccdc 966460: experimental crystal structure determination,2018," chavez, ferman",1,1,1,1
3511,the cambridge structural database,scientific,0,ccdc 1855764: experimental crystal structure determination,2018,"muñoz, salvador b.",1,1,1,1
3512,the cambridge structural database,scientific,0,ccdc 1855764: experimental crystal structure determination,2018, iii,2,2,1,1
3513,the cambridge structural database,scientific,0,ccdc 1855764: experimental crystal structure determination,2018," fleischauer, valerie e.",5,3,1,1
3514,the cambridge structural database,scientific,0,ccdc 1855764: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3515,the cambridge structural database,scientific,0,ccdc 1855764: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3516,the cambridge structural database,scientific,0,ccdc 1580558: experimental crystal structure determination,2018,"kulkarni, naveen v.",1,1,1,1
3517,the cambridge structural database,scientific,0,ccdc 1580558: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3518,the cambridge structural database,scientific,0,ccdc 1580558: experimental crystal structure determination,2018," jones, william d.",90,24,1,1
3519,the cambridge structural database,scientific,0,ccdc 1851559: experimental crystal structure determination,2018,"carpenter, stephanie h.",3,3,1,1
3520,the cambridge structural database,scientific,0,ccdc 1851559: experimental crystal structure determination,2018," baker, tessa m.",6,4,1,1
3521,the cambridge structural database,scientific,0,ccdc 1851559: experimental crystal structure determination,2018," muñoz, salvador b.",3,3,1,1
3522,the cambridge structural database,scientific,0,ccdc 1851559: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3523,the cambridge structural database,scientific,0,ccdc 1851559: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3524,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018,"krishnan, v. mahesh",1,1,1,1
3525,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," davis, ian",1,1,1,1
3526,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," baker, tessa m.",6,4,1,1
3527,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," curran, daniel j.",1,1,1,1
3528,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," arman, hadi d.",3,2,1,1
3529,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3530,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," liu, aimin",1,1,1,1
3531,the cambridge structural database,scientific,0,ccdc 1846077: experimental crystal structure determination,2018," tonzetich, zachary j.",4,3,1,1
3532,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018,"muñoz iii, salvador b.",2,2,1,1
3533,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," daifuku, stephanie l.",8,5,1,1
3534,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," sears, jeffrey d.",3,3,1,1
3535,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," baker, tessa m.",6,4,1,1
3536,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," carpenter, stephanie h.",5,4,1,1
3537,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3538,the cambridge structural database,scientific,0,ccdc 1824244: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3539,the cambridge structural database,scientific,0,ccdc 1844281: experimental crystal structure determination,2018,"petel, brittney e.",3,3,1,1
3540,the cambridge structural database,scientific,0,ccdc 1844281: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3541,the cambridge structural database,scientific,0,ccdc 1844281: experimental crystal structure determination,2018," matson, ellen m.",15,7,1,1
3542,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018,"tondreau, aaron m.",1,1,1,1
3543,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," duignan, thomas j.",2,2,1,1
3544,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," stein, benjamin w.",2,2,1,1
3545,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," fleischauer, valerie e.",5,3,1,1
3546,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," autschbach, jochen",4,4,1,1
3547,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," batista, enrique r.",1,1,1,1
3548,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," boncella, james m.",1,1,1,1
3549,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," ferrier, maryline g.",2,2,1,1
3550,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," kozimor, stosh a.",3,2,1,1
3551,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," mocko, veronika",1,1,1,1
3552,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," neidig, michael l.",48,10,1,1
3553,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," cary, samantha k.",3,2,1,1
3554,the cambridge structural database,scientific,0,ccdc 1589615: experimental crystal structure determination,2018," yang, ping",1,1,1,1
3555,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018,"mcneil jr, d.l.",1,1,1,1
3556,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018," beckford, d.j.",1,1,1,1
3557,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018," kneebone, j.l.",1,1,1,1
3558,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018," carpenter, s.h.",2,2,1,1
3559,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3560,the cambridge structural database,scientific,0,ccdc 1841465: experimental crystal structure determination,2018," neidig, m.l.",3,3,1,1
3561,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018,"bonyhady, simon j.",1,1,1,1
3562,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," derosha, daniel e.",3,2,1,1
3563,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," vela, javier",2,2,1,1
3564,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," vinyard, david j.",1,1,1,1
3565,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," cowley, ryan e.",2,2,1,1
3566,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," mercado, brandon q.",7,3,1,1
3567,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3568,the cambridge structural database,scientific,0,ccdc 1824914: experimental crystal structure determination,2018," holland, patrick l.",21,6,1,1
3569,the cambridge structural database,scientific,0,ccdc 1825306: experimental crystal structure determination,2018,"vangelder, l. e.",2,1,1,1
3570,the cambridge structural database,scientific,0,ccdc 1825306: experimental crystal structure determination,2018," forrestel, p. l.",1,1,1,1
3571,the cambridge structural database,scientific,0,ccdc 1825306: experimental crystal structure determination,2018," brennessel, w. w.",3,2,1,1
3572,the cambridge structural database,scientific,0,ccdc 1825306: experimental crystal structure determination,2018," matson, e. m.",2,1,1,1
3573,the cambridge structural database,scientific,0,ccdc 1493400: experimental crystal structure determination,2018,"rajbhandary, annada",1,1,1,1
3574,the cambridge structural database,scientific,0,ccdc 1493400: experimental crystal structure determination,2018," brennessel, william w.",300,17,10,2
3575,the cambridge structural database,scientific,0,ccdc 1493400: experimental crystal structure determination,2018," nilsson, bradley l.",3,3,1,1
3576,the cambridge structural database,scientific,0,ccdc 1587541: experimental crystal structure determination,2018,"vangelder, l. e.",2,1,1,1
3577,the cambridge structural database,scientific,0,ccdc 1587541: experimental crystal structure determination,2018," brennessel, w. w.",3,2,1,1
3578,the cambridge structural database,scientific,0,ccdc 1587541: experimental crystal structure determination,2018," matson, e. m.",2,1,1,1
3579,mendeley,general,46 information and computing sciences; 46 information and computing sciences; 4601 applied computing,data for: an operating principle of the turtle utricle to detect wide dynamic range,2018,"nam, jong-hoon",1,1,1,1
3580,springer nature,geology/environment,31 biological sciences; 3102 bioinformatics and computational biology; 32 biomedical and clinical sciences,additional file 2 of super-delta: a new differential gene expression analysis procedure with robust data normalization,2017,yuhang liu,1,1,1,1
3581,springer nature,geology/environment,31 biological sciences; 3102 bioinformatics and computational biology; 32 biomedical and clinical sciences,additional file 2 of super-delta: a new differential gene expression analysis procedure with robust data normalization,2017, jinfeng zhang,2,2,2,2
3582,springer nature,geology/environment,31 biological sciences; 3102 bioinformatics and computational biology; 32 biomedical and clinical sciences,additional file 2 of super-delta: a new differential gene expression analysis procedure with robust data normalization,2017, xing qiu,7,5,7,5
3583,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,catalytic upgrading of ethanol to <i>n</i>‑butanol via manganese-mediated guerbet reaction,2017,"naveen
v. kulkarni",1,1,1,1
3584,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,catalytic upgrading of ethanol to <i>n</i>‑butanol via manganese-mediated guerbet reaction,2017," brennessel, william w.",300,17,10,2
3585,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,catalytic upgrading of ethanol to <i>n</i>‑butanol via manganese-mediated guerbet reaction,2017, william d. jones,62,22,9,1
3586,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017,eric s. kim,1,1,1,1
3587,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, andrea m. baran,2,2,2,2
3588,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, esther l. mondo,1,1,1,1
3589,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, thomas d. rodgers,1,1,1,1
3590,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, gradon c. nielsen,1,1,1,1
3591,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, david w. dougherty,1,1,1,1
3592,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, kishan j. pandya,1,1,1,1
3593,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, david q. rich,2,2,2,1
3594,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,patient characteristics categorized by carboplatin and cisplatin groups.,2017, edwin van wijngaarden,1,1,1,1
3595,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5204 cognitive and computational psychology,correlates of decisional dynamics in the dorsal anterior cingulate cortex,2017,habiba azab,1,1,1,1
3596,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5204 cognitive and computational psychology,correlates of decisional dynamics in the dorsal anterior cingulate cortex,2017, benjamin y. hayden,3,3,3,1
3597,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017,iris chen,1,1,1,1
3598,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, yogeshwar d. kelkar,3,3,2,2
3599,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, yu gu,1,1,1,1
3600,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, jie zhou,1,1,1,1
3601,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, xing qiu,7,5,7,5
3602,public library of science,scientific,46 information and computing sciences; 46 information and computing sciences; 4603 computer vision and multimedia computation,simulation results: comparisons of variable selection performance between the row-based and matrix-based erm algorithms.,2017, hulin wu,5,5,5,3
3603,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017,charly abi ghanem,1,1,1,1
3604,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, cindy degerny,1,1,1,1
3605,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, rashad hussain,1,1,1,1
3606,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, philippe liere,1,1,1,1
3607,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, antoine pianos,1,1,1,1
3608,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, sophie tourpin,1,1,1,1
3609,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, rené habert,1,1,1,1
3610,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, wendy b. macklin,1,1,1,1
3611,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, michael schumacher,1,1,1,1
3612,public library of science,scientific,32 biomedical and clinical sciences; 52 psychology; 5202 biological psychology,profiling of steroids in the male and female mouse brain at postnatal day 10.,2017, abdel m. ghoumari,1,1,1,1
3613,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the efficiency of aspheric intraocular lens according to biometric measurements,2017,woong-joo whang,1,1,1,1
3614,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the efficiency of aspheric intraocular lens according to biometric measurements,2017, junjie piao,1,1,1,1
3615,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the efficiency of aspheric intraocular lens according to biometric measurements,2017, young-sik yoo,1,1,1,1
3616,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the efficiency of aspheric intraocular lens according to biometric measurements,2017, choun-ki joo,3,2,3,1
3617,public library of science,scientific,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,the efficiency of aspheric intraocular lens according to biometric measurements,2017, geunyoung yoon,3,2,3,1
3618,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017,ritika das,1,1,1,1
3619,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, justine a. melo,1,1,1,1
3620,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, manjunatha thondamal,1,1,1,1
3621,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, elizabeth a. morton,1,1,1,1
3622,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, adam b. cornwell,1,1,1,1
3623,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, beresford crick,1,1,1,1
3624,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, joung heon kim,1,1,1,1
3625,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, elliot w. swartz,1,1,1,1
3626,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, todd lamitina,1,1,1,1
3627,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, peter m. douglas,1,1,1,1
3628,public library of science,scientific,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,the homeodomain-interacting protein kinase hpk-1 preserves protein homeostasis and longevity through master regulatory control of the hsf-1 chaperone network and torc1-restricted autophagy in <i>caenorhabditis elegans</i>,2017, andrew v. samuelson,2,2,1,1
3629,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017,adam b. olshen,1,1,1,1
3630,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, robert l. strawderman,3,3,3,2
3631,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, gregory ryslik,1,1,1,1
3632,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, karen lostritto,1,1,1,1
3633,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, alice m. arnold,1,1,1,1
3634,taylor & francis group,Math/physics/computerScience,46 information and computing sciences; 46 information and computing sciences; 4611 machine learning,novel aggregate deletion/substitution/addition learning algorithms for recursive partitioning,2017, annette m. molinaro,1,1,1,1
3635,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017,kohei nishitani,1,1,1,1
3636,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, zachary mietus,1,1,1,1
3637,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, christopher a. beck,1,1,1,1
3638,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, hiromu ito,1,1,1,1
3639,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, shuichi matsuda,1,1,1,1
3640,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, hani a. awad,4,4,4,1
3641,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, nicole ehrhart,1,1,1,1
3642,public library of science,scientific,"30 agricultural, veterinary and food sciences; 3009 veterinary sciences; 32 biomedical and clinical sciences",high dose teriparatide (rpth<sub>1-34</sub>) therapy increases callus volume and enhances radiographic healing at 8-weeks in a massive canine femoral allograft model,2017, edward m. schwarz,3,3,3,1
3643,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"removal of triphenylphosphine
oxide by precipitation
with zinc chloride in polar solvents",2017,"donald
c. batesky",1,1,1,1
3644,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"removal of triphenylphosphine
oxide by precipitation
with zinc chloride in polar solvents",2017, matthew j. goldfogel,1,1,1,1
3645,american chemical society,scientific,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"removal of triphenylphosphine
oxide by precipitation
with zinc chloride in polar solvents",2017, daniel j. weix,6,5,2,1
3646,taylor & francis group,Math/physics/computerScience,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,extracellular dna and lipoteichoic acids interact with exopolysaccharides in the extracellular matrix of <i>streptococcus mutans</i> biofilms,2017,midian c. castillo pedraza,1,1,1,1
3647,taylor & francis group,Math/physics/computerScience,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,extracellular dna and lipoteichoic acids interact with exopolysaccharides in the extracellular matrix of <i>streptococcus mutans</i> biofilms,2017, tatiana f. novais,1,1,1,1
